,CASE_STATUS,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,YEAR,WORKSITE
2881054,CERTIFIED,computer programmer,Y,54766.0,2011.0,hawaii
1318699,CERTIFIED,programmer analyst,Y,60653.0,2014.0,pennsylvania
1248534,CERTIFIED,computer programmer/configurer 2,Y,60570.0,2015.0,illinois
1525263,CERTIFIED,software developer,Y,82430.0,2014.0,texas
697797,CERTIFIED,software engineer,Y,72405.0,2015.0,california
2793283,CERTIFIED,senior software engineer,Y,89300.0,2011.0,maryland
2965765,CERTIFIED-WITHDRAWN,programmer analsyt,Y,43035.0,2011.0,kentucky
2447046,CERTIFIED,computer programmer,Y,74339.0,2012.0,missouri
407145,CERTIFIED,software developer iii,Y,92955.0,2016.0,texas
2675597,CERTIFIED,senior programmer analyst,Y,78083.0,2011.0,california
200137,CERTIFIED-WITHDRAWN,programmer analyst,N,56000.0,2016.0,virginia
2715531,CERTIFIED,computer programmer/configurer 2,Y,59634.0,2011.0,illinois
693568,CERTIFIED,software engineer 3,Y,105560.0,2015.0,massachusetts
743022,CERTIFIED,software engineer,Y,79186.0,2015.0,texas
1227467,CERTIFIED,programmer analyst,Y,74922.0,2015.0,california
1497754,CERTIFIED,computer systems engineer,Y,52187.0,2014.0,california
293996,CERTIFIED,software engineer (remedy),Y,91562.0,2016.0,new york
1731029,CERTIFIED,programmer analyst,Y,68640.0,2014.0,texas
327189,CERTIFIED,software engineer,Y,117603.0,2016.0,california
2060987,CERTIFIED,senior software engineer,Y,92789.0,2013.0,california
2056315,CERTIFIED,programmer analyst,Y,50336.0,2013.0,texas
2927476,CERTIFIED,computer systems analyst,Y,53789.0,2011.0,tennessee
1999220,CERTIFIED,programmer analyst,Y,78437.0,2013.0,illinois
339533,CERTIFIED,senior software engineer,N,64418.0,2016.0,missouri
1144801,DENIED,software engineer,Y,57970.0,2015.0,arizona
204822,CERTIFIED,programmer analyst - ii,N,68786.0,2016.0,texas
1513468,CERTIFIED,software engineer,Y,73861.0,2014.0,california
2883606,CERTIFIED,programmer analyst,Y,63586.0,2011.0,illinois
2118225,CERTIFIED,embedded software engineer,Y,99702.0,2013.0,california
1291157,CERTIFIED-WITHDRAWN,programmer analyst,Y,47320.0,2014.0,california
2668971,CERTIFIED,computer programmer,Y,50752.0,2011.0,new jersey
2320370,CERTIFIED,computer programmer,Y,50128.0,2012.0,illinois
1321375,CERTIFIED,software developer,Y,88296.0,2014.0,massachusetts
850360,CERTIFIED,software developer ii,Y,81182.0,2015.0,texas
718011,CERTIFIED,programmer analyst,Y,66061.0,2015.0,california
